ID,Nombre,Grupo,Total docks,Latitude,Longitude,
1,01 - UDALETXEA / AYUNTAMIENTO,,23,43.321446,-1.986424,
2,02 - BRETXA,,15,43.322967,-1.982296,
3,03 - SANTA KATALINA PLAZATXOA,,15,43.321342,-1.980052,
4,04 - ANDIA,,23,43.320539,-1.982483,
5,05 - SAN MARTZIAL,,15,43.319301,-1.980584,
6,06 - ARRASATE,,16,43.318323,-1.981554,
7,07 - MARQUÉS MIRAFLORES,,19,43.317033,-1.98601,
8,08 - URDANETA,,19,43.315793,-1.982593,
9,09 - EASO,,24,43.313339,-1.981658,
10,10 - PEÑA Y GOÑI,,15,43.32278,-1.977272,
11,11 - SAN FRANTZISKO-IPARRAGIRRE,,15,43.322794,-1.975448,
12,12 - S.FRANTZISKO-GALTZADA NAGUSIA / GRAN VÍA,,20,43.324109,-1.97345,
13,13 - SAN FRANTZISKO- NAFARROA,,19,43.325755,-1.971089,
14,14 - BERMINGHAM,,15,43.323802,-1.971588,
15,15 - SEGUNDO IZPIZUA,,15,43.323948,-1.969948,
16,16 - ATARIZAR,,15,43.321262,-1.959862,
17,17 - SAGASTIEDER,Promotional,20,43.313246,-1.956518,
18,18 - TERESA DE CALCUTA,,15,43.320261,-1.975568,
19,19 - FRANTZIA PASEALEKUA,,25,43.317646,-1.9774,
20,20 - TABAKALERA,,19,43.317163,-1.974992,
21,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,Promotional,20,43.316996,-1.971482,
22,22 - ANTSO JAKITUNA / SANCHO EL SABIO,,15,43.311191,-1.980445,
23,23 - GABRIEL CELAYA PLAZA,Promotional,15,43.316641,-1.953469,
24,24 - MORLANS,,15,43.308504,-1.982912,
25,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,,15,43.307924,-1.979177,
26,26 - JAVIER BARKAIZTEGI,,19,43.305942,-1.980475,
27,27 - PODAVINES,,19,43.302698,-1.979894,
28,28 - ISABEL II,,20,43.304339,-1.976113,
29,29 - EUSKAL KORTSARIOAK / CORSARIOS VASCOS,,19,43.306114,-1.972965,
30,30 - HUMBOLDT,,20,43.310072,-1.971489,
31,31 - BARCELONA,,19,43.312049,-1.972104,
32,32 - URBIA,,15,43.310841,-1.967488,
33,33 - ANTZIETA,Promotional,19,43.304361,-1.962056,
34,34 - TRANBIA,Promotional,19,43.296056,-1.954125,
35,35 - MUNTO,Promotional,19,43.306917,-1.993368,
36,36 - ERRONDOGAINA / ALTO DE ERRONDO,Promotional,20,43.300719,-1.988138,
37,37 - ANDOAIN,Promotional,23,43.299026,-1.991666,
38,38 - KRISTINA INFANTA,,15,43.314502,-2.00431,
39,39 - ZARAUTZ,,15,43.312508,-2.005926,
40,40 - TOLOSA HIRIB.-IRAKASLE ESKOLA/MAGISTERIO,,24,43.311667,-2.008883,
41,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,,25,43.30916,-2.010537,
42,42 - BERIO 26,Promotional,19,43.306641,-2.016588,
43,43 - TOLOSA HIRIBIDEA-PSIKOLOGIA,,17,43.306743,-2.008338,
44,44 - BERNARDO ESTORNES,,17,43.303256,-2.007654,
45,45 - XABIER LIZARDI,,15,43.301378,-2.004624,
46,46 - TOLOSA HIRIBIDEA-AMERIKA,,15,43.302069,-2.003352,
47,47 - HERRERA,Promotional,19,43.319832,-1.9384473,
48,48 - LARRATXO,Promotional,15,43.313163,-1.939204,
49,49- ALTZA KIROLDEGIA,Promotional,15,43.318728,-1.92803,
50,50- HARROBIETA PLAZATXOA,Promotional,19,43.317758,-1.933879,
51,51 - JULIO URKIXO 44,Promotional,19,43.323695,-1.94302,
52,52 - AÑORGA TXIKI,Promotional,19,43.289259,-1997852,
53,53 - TXAPARRENE 26,Promotional,19,43.320182,-1.951833,
54,54 - BERIO 42,Promotional,15,43.305158,-2.016997,
55,55- BERA BERA,Promotional,15,43.301937,-1.993655,
56,56 - ALTZA SAN MARTZIAL PLAZA,Promotional,15,43.314205,-1.93476,
57,57 - PAGOLA-LUGARITZ,Promotional,19,43.302416,-1.998749,
58,58 - NORNAHI PLAZATXOA,Promotional,0,43.322313,-1.939116,
59,59 - BUENAVISTA,Promotional,19,43.321211,-1.922239,
60,60 - ERREGEZAINTZA 28/ ESCOLTA REAL 28,,15,43.31239,-2.001045,
61,61 – SATRUSTEGI 1,,0,43.315243,-2.000771,
62,62 - PIO BAROJA 20,Promotional,15,43.310815,-1.995429,
63,63 - SERT PLAZA,,15,43.31068,-2.006141,
64,64 - AMETZAGAÑA 47,Promotional,19,43.31787,-1.967836,
65,65 - OLAETA / FERRERÍAS,,19,43.302869,-1.975384,
66,66 - ZUHAIZTI PLAZA,,19,43.321181,-1.974655,
67,67 - MORAZA 1,,19,43.314847,-1.979881,
68,68 - ZABALETA 35 ,,19,43.324364,-1.974429,
70,70 - TXAPILLO,Promotional,15,43.300167,-1.984954,
,,,1198,,,
