,Unnamed: 0,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend,start_building,target_building
0,237518,1164530,NORMAL,489,31,9/19/22 6:00,31 - BARCELONA,19/09/2022 6:08,19,19 - FRANTZIA PASEALEKUA,21767,P32396,748,EFIT,Dbizi Ordinario,43.309668046681935,-1.968903298,43.31696443883707,-1.965374564,9/19/22 6:00,TRUE,TRUE,454,2894
1,237517,1164531,NORMAL,480,21,9/19/22 6:03,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:11,9,09 - EASO,2133,P15799,77,FIT,Ordinario,43.31656469868544,-1.968646093,43.31248148,-1.982685688,9/19/22 6:03,TRUE,TRUE,2933,3645
2,237516,1164532,NORMAL,274,16,9/19/22 6:04,16 - ATARIZAR,19/09/2022 6:08,52,23 - GABRIEL CELAYA PLAZA,12655,P32422,801,EFIT,Ordinario,43.324382430011546,-1.961078962,43.31883569612162,-1.954590358,9/19/22 6:04,TRUE,TRUE,4206,1222
3,237515,1164533,NORMAL,101,21,9/19/22 6:05,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:06,20,20 - TABAKALERA,15465,P32410,746,EFIT,Dbizi Ocasional,43.32043374999999,-1.97128805,43.31902079542764,-1.96880334,9/19/22 6:05,TRUE,TRUE,1901,1572
4,237514,1164534,NORMAL,306,21,9/19/22 6:08,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:13,32,32 - URBIA,1288,P15703,189,FIT,Ordinario,43.31892845074812,-1.970316067,43.30730200917935,-1.968788423,9/19/22 6:08,TRUE,TRUE,1602,4856
5,237513,1164535,NORMAL,539,27,9/19/22 6:10,27 - PODAVINES,19/09/2022 6:19,19,19 - FRANTZIA PASEALEKUA,14053,P32361,738,EFIT,Ordinario,43.30478335337924,-1.982472146,43.31586493,-1.980502634,9/19/22 6:10,TRUE,TRUE,788,420
6,237512,1164550,NORMAL,336,21,9/19/22 6:24,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:30,11,11 - SAN FRANTZISKO-IPARRAGIRRE,21479,E20004,53,FIT,Dbizi Ocasional,43.31973910000001,-1.9674964,43.32354850945237,-1.975004306,9/19/22 6:24,TRUE,TRUE,2867,2826
7,237510,1164553,NORMAL,954,30,9/19/22 6:32,30 - HUMBOLDT,19/09/2022 6:48,45,45 - XABIER LIZARDI,4841,P15709,175,FIT,Dbizi Ordinario,43.310335466487075,-1.972943086,43.30593295299055,-2.006588039,9/19/22 6:32,TRUE,TRUE,1620,1658
8,237509,1164554,NORMAL,723,20,9/19/22 6:42,20 - TABAKALERA,19/09/2022 6:54,38,38 - KRISTINA INFANTA,5599,P32410,746,EFIT,Dbizi Ordinario,43.31991955000001,-1.96742705,43.312210397761405,-2.00653389,9/19/22 6:42,TRUE,TRUE,2883,3319
9,237508,1164555,NORMAL,2699,38,9/19/22 6:42,38 - KRISTINA INFANTA,19/09/2022 7:27,26,26 - JAVIER BARKAIZTEGI,20781,P32316,714,EFIT,Dbizi Ocasional,43.31489349999999,-2.00771765,43.30338982237673,-1.980630269,9/19/22 6:42,TRUE,TRUE,2043,786
