,Unnamed: 0,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend,start_building,target_building
0,237518,1164530,NORMAL,489,31,2022-09-19 06:00:00,31 - BARCELONA,19/09/2022 6:08,19.0,19 - FRANTZIA PASEALEKUA,21767,P32396,748.0,EFIT,Dbizi Ordinario,43.309668046681935,-1.9689032984810628,43.31696443883707,-1.9653745638009148,2022-09-19 06:00:00,True,True,454,2894
1,237517,1164531,NORMAL,480,21,2022-09-19 06:03:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:11,9.0,09 - EASO,2133,P15799,77.0,FIT,Ordinario,43.31656469868544,-1.9686460933852807,43.3124814755937,-1.9826856879447936,2022-09-19 06:03:00,True,True,2933,3645
2,237516,1164532,NORMAL,274,16,2022-09-19 06:04:00,16 - ATARIZAR,19/09/2022 6:08,52.0,23 - GABRIEL CELAYA PLAZA,12655,P32422,801.0,EFIT,Ordinario,43.324382430011546,-1.9610789616921935,43.31883569612162,-1.954590357675256,2022-09-19 06:04:00,True,True,4206,1222
3,237515,1164533,NORMAL,101,21,2022-09-19 06:05:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:06,20.0,20 - TABAKALERA,15465,P32410,746.0,EFIT,Dbizi Ocasional,43.32043374999999,-1.9712880500000003,43.31902079542764,-1.9688033399853455,2022-09-19 06:05:00,True,True,1901,1572
4,237514,1164534,NORMAL,306,21,2022-09-19 06:08:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:13,32.0,32 - URBIA,1288,P15703,189.0,FIT,Ordinario,43.31892845074812,-1.9703160667161983,43.30730200917935,-1.9687884233577269,2022-09-19 06:08:00,True,True,1602,4856
5,237513,1164535,NORMAL,539,27,2022-09-19 06:10:00,27 - PODAVINES,19/09/2022 6:19,19.0,19 - FRANTZIA PASEALEKUA,14053,P32361,738.0,EFIT,Ordinario,43.30478335337924,-1.9824721460282384,43.3158649331525,-1.980502633817517,2022-09-19 06:10:00,True,True,788,420
6,237512,1164550,NORMAL,336,21,2022-09-19 06:24:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:30,11.0,11 - SAN FRANTZISKO-IPARRAGIRRE,21479,E20004,53.0,FIT,Dbizi Ocasional,43.31973910000001,-1.9674964,43.32354850945237,-1.9750043058551097,2022-09-19 06:24:00,True,True,2867,2826
7,237510,1164553,NORMAL,954,30,2022-09-19 06:32:00,30 - HUMBOLDT,19/09/2022 6:48,45.0,45 - XABIER LIZARDI,4841,P15709,175.0,FIT,Dbizi Ordinario,43.310335466487075,-1.9729430860067905,43.30593295299055,-2.0065880393647566,2022-09-19 06:32:00,True,True,1620,1658
8,237509,1164554,NORMAL,723,20,2022-09-19 06:42:00,20 - TABAKALERA,19/09/2022 6:54,38.0,38 - KRISTINA INFANTA,5599,P32410,746.0,EFIT,Dbizi Ordinario,43.31991955000001,-1.96742705,43.312210397761405,-2.006533889637834,2022-09-19 06:42:00,True,True,2883,3319
9,237508,1164555,NORMAL,2699,38,2022-09-19 06:42:00,38 - KRISTINA INFANTA,19/09/2022 7:27,26.0,26 - JAVIER BARKAIZTEGI,20781,P32316,714.0,EFIT,Dbizi Ocasional,43.31489349999999,-2.0077176500000005,43.30338982237673,-1.9806302694170368,2022-09-19 06:42:00,True,True,2043,786
10,237507,1164556,NORMAL,413,35,2022-09-19 06:44:00,35 - MUNTO,19/09/2022 6:51,18.0,18 - TERESA DE CALCUTA,2233,P32385,761.0,EFIT,Ordinario,43.30502691117257,-1.994983463246968,43.32279153333333,-1.9751234000000004,2022-09-19 06:44:00,True,True,722,605
11,237506,1164557,NORMAL,440,17,2022-09-19 06:45:00,17 - SAGASTIEDER,19/09/2022 6:52,20.0,20 - TABAKALERA,1351,P32323,765.0,EFIT,Ordinario,43.31646254670578,-1.9650532888299999,43.317272501057886,-1.969409607354892,2022-09-19 06:45:00,True,True,2892,556
12,237505,1164558,NORMAL,353,17,2022-09-19 06:46:00,17 - SAGASTIEDER,19/09/2022 6:51,16.0,16 - ATARIZAR,11821,P32336,730.0,EFIT,Ordinario,43.3100602800976,-1.955315777538704,43.32433079238238,-1.9596245184426204,2022-09-19 06:46:00,True,True,5242,4193
13,237504,1164559,NORMAL,553,19,2022-09-19 06:47:00,19 - FRANTZIA PASEALEKUA,19/09/2022 6:56,38.0,38 - KRISTINA INFANTA,1075,P32361,738.0,EFIT,Ordinario,43.315395862302246,-1.9824985808585456,43.3160348,-2.0056751,2022-09-19 06:47:00,True,True,5382,817
14,237503,1164560,NORMAL,453,30,2022-09-19 06:49:00,30 - HUMBOLDT,19/09/2022 6:56,19.0,19 - FRANTZIA PASEALEKUA,1946,P15971,22.0,FIT,Ordinario,43.31261517711195,-1.9709669111805967,43.31721168556528,-1.970887406969604,2022-09-19 06:49:00,True,True,1607,560
15,237502,1164561,NORMAL,636,31,2022-09-19 06:51:00,31 - BARCELONA,19/09/2022 7:01,6.0,06 - ARRASATE,11041,E20054,168.0,FIT,Dbizi Ordinario,43.317834969846324,-1.9674421726120808,43.324185698484314,-1.9839902507463207,2022-09-19 06:51:00,True,True,553,84
16,237501,1164566,NORMAL,205,33,2022-09-19 06:52:00,33 - ANTZIETA,19/09/2022 6:56,32.0,32 - URBIA,13734,P32333,807.0,EFIT,Ordinario,43.30664865877694,-1.9616105791871727,43.31041757434957,-1.9654621134758328,2022-09-19 06:52:00,True,True,5215,404
17,237500,1164567,NORMAL,280,22,2022-09-19 06:52:00,22 - ANTSO JAKITUNA / SANCHO EL SABIO,19/09/2022 6:57,19.0,19 - FRANTZIA PASEALEKUA,13433,E20046,106.0,FIT,Dbizi Ocasional,43.31060638788826,-1.975062797170584,43.322852196149924,-1.9783479893701168,2022-09-19 06:52:00,True,True,3508,589
18,237499,1164568,NORMAL,603,29,2022-09-19 06:53:00,29 - EUSKAL KORTSARIOAK / CORSARIOS VASCOS,19/09/2022 7:03,3.0,03 - SANTA KATALINA PLAZATXOA,12987,E20051,27.0,FIT,Ordinario,43.3090777,-1.96656255,43.322377576422426,-1.985309868231721,2022-09-19 06:53:00,True,True,2917,59
19,237498,1164571,NORMAL,598,28,2022-09-19 06:53:00,28 - ISABEL II,19/09/2022 7:03,4.0,04 - ANDIA,931,P15830,151.0,FIT,Ordinario,43.30040965,-1.97936575,43.32313396733896,-1.9732159346181333,2022-09-19 06:53:00,True,True,4829,632
20,237497,1164574,NORMAL,536,21,2022-09-19 06:54:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 7:03,47.0,01 - UDALETXEA / AYUNTAMIENTO,12191,P15834,286.0,FIT,Ordinario,43.318277,-1.9715520999999991,43.323734227622545,-1.987558917193524,2022-09-19 06:54:00,True,True,1594,52
21,237496,1164577,NORMAL,459,38,2022-09-19 06:55:00,38 - KRISTINA INFANTA,19/09/2022 7:03,47.0,01 - UDALETXEA / AYUNTAMIENTO,6477,P32410,746.0,EFIT,Ordinario,43.31458332726346,-2.00658524872323,43.32403958047923,-1.9863070159174063,2022-09-19 06:55:00,True,True,3381,80
22,237495,1164579,NORMAL,258,22,2022-09-19 06:55:00,22 - ANTSO JAKITUNA / SANCHO EL SABIO,19/09/2022 7:00,19.0,19 - FRANTZIA PASEALEKUA,16832,P15818,195.0,FIT,Dbizi Ordinario,43.313460357100894,-1.9829629230958712,43.31496115000001,-1.977753850000001,2022-09-19 06:55:00,True,True,3659,431
23,237491,1164584,NORMAL,439,28,2022-09-19 06:56:00,28 - ISABEL II,19/09/2022 7:04,19.0,19 - FRANTZIA PASEALEKUA,22627,P15898,294.0,FIT,Dbizi Ocasional,43.303289549742075,-1.9816222528477556,43.315366903497775,-1.9802618764162792,2022-09-19 06:56:00,True,True,5683,6164
24,237493,1164581,NORMAL,526,29,2022-09-19 06:56:00,29 - EUSKAL KORTSARIOAK / CORSARIOS VASCOS,19/09/2022 7:04,33.0,33 - ANTZIETA,13333,P32390,777.0,EFIT,Ordinario,43.310354734113815,-1.972243241773968,43.303356969609546,-1.9624887305375969,2022-09-19 06:56:00,True,True,446,5064
25,237492,1164583,NORMAL,248,21,2022-09-19 06:56:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 7:00,19.0,19 - FRANTZIA PASEALEKUA,7879,P15927,178.0,FIT,Dbizi Ordinario,43.31693008505556,-1.9678284477360144,43.31960513045975,-1.9690312857858336,2022-09-19 06:56:00,True,True,881,2777
26,237490,1164589,NORMAL,160,42,2022-09-19 07:00:00,42 - BERIO,19/09/2022 7:03,43.0,43 - TOLOSA HIRIBIDEA-PSIKOLOGIA,11132,P15737,137.0,FIT,Dbizi Ordinario,43.30389494999999,-2.01510785,43.30345928258405,-2.0031309793293013,2022-09-19 07:00:00,True,True,1919,1747
27,237489,1164590,NORMAL,1344,15,2022-09-19 07:01:00,15 - SEGUNDO IZPIZUA,19/09/2022 7:23,45.0,45 - XABIER LIZARDI,15904,P32380,787.0,EFIT,Dbizi ORDINARIO (FN 20%),43.328095306486794,-1.970007887510316,43.30243193495077,-2.003512044875245,2022-09-19 07:01:00,True,True,890,3021
28,237488,1164591,NORMAL,273,21,2022-09-19 07:01:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 7:06,31.0,31 - BARCELONA,537,P15838,274.0,FIT,Ordinario,43.31753773241605,-1.9733812020352317,43.313588200000005,-1.97171785,2022-09-19 07:01:00,True,True,1857,5483
29,237487,1164592,NORMAL,307,47,2022-09-19 07:02:00,01 - UDALETXEA / AYUNTAMIENTO,19/09/2022 7:07,19.0,19 - FRANTZIA PASEALEKUA,12206,P15873,40.0,FIT,Ordinario,43.32361797909746,-1.9884199452006348,43.315988322940214,-1.972955221058028,2022-09-19 07:02:00,True,True,65,554
30,237486,1164593,NORMAL,296,22,2022-09-19 07:02:00,22 - ANTSO JAKITUNA / SANCHO EL SABIO,19/09/2022 7:07,7.0,07 - MARQUÉS MIRAFLORES,19534,P15755,71.0,FIT,Dbizi Ordinario,43.30903815,-1.9814973999999999,43.31113073633585,-1.987719672607604,2022-09-19 07:02:00,True,True,3592,3691
31,237485,1164594,NORMAL,534,35,2022-09-19 07:02:00,35 - MUNTO,19/09/2022 7:11,28.0,28 - ISABEL II,13220,P32313,782.0,EFIT,Ordinario,43.30635529999999,-1.9972714,43.30245954159797,-1.975582712957659,2022-09-19 07:02:00,True,True,3024,6062
