,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend
237518,1164530,NORMAL,489,31,2022-09-19 06:00:00,31 - BARCELONA,19/09/2022 6:08,19.0,19 - FRANTZIA PASEALEKUA,21767,P32396,748.0,EFIT,Dbizi Ordinario,43.31202493382682,-1.9721476656757329,43.31785597968304,-1.9773212084271625,2022-09-19 06:00:00,True,True
237517,1164531,NORMAL,480,21,2022-09-19 06:03:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:11,9.0,09 - EASO,2133,P15799,77.0,FIT,Ordinario,43.3169507884904,-1.9714513488864929,43.31328896200965,-1.9817650765547319,2022-09-19 06:03:00,True,True
237515,1164533,NORMAL,101,21,2022-09-19 06:05:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:06,20.0,20 - TABAKALERA,15465,P32410,746.0,EFIT,Dbizi Ocasional,43.3169507884904,-1.9714513488864929,43.317037588702135,-1.9750530324926516,2022-09-19 06:05:00,True,True
237513,1164535,NORMAL,539,27,2022-09-19 06:10:00,27 - PODAVINES,19/09/2022 6:19,19.0,19 - FRANTZIA PASEALEKUA,14053,P32361,738.0,EFIT,Ordinario,43.3027071653288,-1.9799116632676583,43.31785597968304,-1.9773212084271625,2022-09-19 06:10:00,True,True
237512,1164550,NORMAL,336,21,2022-09-19 06:24:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 6:30,11.0,11 - SAN FRANTZISKO-IPARRAGIRRE,21479,E20004,53.0,FIT,Dbizi Ocasional,43.3169507884904,-1.9714513488864929,43.322754906556675,-1.9754242189721487,2022-09-19 06:24:00,True,True
237510,1164553,NORMAL,954,30,2022-09-19 06:32:00,30 - HUMBOLDT,19/09/2022 6:48,45.0,45 - XABIER LIZARDI,4841,P15709,175.0,FIT,Dbizi Ordinario,43.3100607540581,-1.971309291351586,43.301489470754845,-2.0046293584460266,2022-09-19 06:32:00,True,True
237509,1164554,NORMAL,723,20,2022-09-19 06:42:00,20 - TABAKALERA,19/09/2022 6:54,38.0,38 - KRISTINA INFANTA,5599,P32410,746.0,EFIT,Dbizi Ordinario,43.317037588702135,-1.9750530324926516,43.31444640411938,-2.0043079706293203,2022-09-19 06:42:00,True,True
237508,1164555,NORMAL,2699,38,2022-09-19 06:42:00,38 - KRISTINA INFANTA,19/09/2022 7:27,26.0,26 - JAVIER BARKAIZTEGI,20781,P32316,714.0,EFIT,Dbizi Ocasional,43.31444640411938,-2.0043079706293203,43.30590821804648,-1.9805843656440028,2022-09-19 06:42:00,True,True
237507,1164556,NORMAL,413,35,2022-09-19 06:44:00,35 - MUNTO,19/09/2022 6:51,18.0,18 - TERESA DE CALCUTA,2233,P32385,761.0,EFIT,Ordinario,43.306922838390456,-1.9933626516954035,43.320289499766545,-1.9755618544813616,2022-09-19 06:44:00,True,True
237504,1164559,NORMAL,553,19,2022-09-19 06:47:00,19 - FRANTZIA PASEALEKUA,19/09/2022 6:56,38.0,38 - KRISTINA INFANTA,1075,P32361,738.0,EFIT,Ordinario,43.31785597968304,-1.9773212084271625,43.31444640411938,-2.0043079706293203,2022-09-19 06:47:00,True,True
237503,1164560,NORMAL,453,30,2022-09-19 06:49:00,30 - HUMBOLDT,19/09/2022 6:56,19.0,19 - FRANTZIA PASEALEKUA,1946,P15971,22.0,FIT,Ordinario,43.3100607540581,-1.971309291351586,43.31785597968304,-1.9773212084271625,2022-09-19 06:49:00,True,True
237502,1164561,NORMAL,636,31,2022-09-19 06:51:00,31 - BARCELONA,19/09/2022 7:01,6.0,06 - ARRASATE,11041,E20054,168.0,FIT,Dbizi Ordinario,43.31202493382682,-1.9721476656757329,43.318344146702714,-1.9815228341201954,2022-09-19 06:51:00,True,True
237500,1164567,NORMAL,280,22,2022-09-19 06:52:00,22 - ANTSO JAKITUNA / SANCHO EL SABIO,19/09/2022 6:57,19.0,19 - FRANTZIA PASEALEKUA,13433,E20046,106.0,FIT,Dbizi Ocasional,43.31109581854418,-1.9804310586157425,43.31785597968304,-1.9773212084271625,2022-09-19 06:52:00,True,True
