,Lat,Lon,,,,,,,,,,,,,,,,,,,,,start_building,target_building
0,43.31696444,-1.965374564,,,,,,,,,,,,,,,,,,,,,454,2894
1,43.31248148,-1.982685688,,,,,,,,,,,,,,,,,,,,,2933,3645
2,43.3188357,-1.954590358,,,,,,,,,,,,,,,,,,,,,4206,1222
3,43.3190208,-1.96880334,,,,,,,,,,,,,,,,,,,,,1901,1572
4,43.30730201,-1.968788423,,,,,,,,,,,,,,,,,,,,,1602,4856
5,43.31586493,-1.980502634,,,,,,,,,,,,,,,,,,,,,788,420
6,43.32354851,-1.975004306,,,,,,,,,,,,,,,,,,,,,2867,2826
7,43.30593295,-2.006588039,,,,,,,,,,,,,,,,,,,,,1620,1658
8,43.3122104,-2.00653389,,,,,,,,,,,,,,,,,,,,,2883,3319
9,43.30338982,-1.980630269,,,,,,,,,,,,,,,,,,,,,2043,786
10,43.32279153,-1.9751234,,,,,,,,,,,,,,,,,,,,,722,605
11,43.3172725,-1.969409607,,,,,,,,,,,,,,,,,,,,,2892,556
12,43.32433079,-1.959624518,,,,,,,,,,,,,,,,,,,,,5242,4193
13,43.3160348,-2.0056751,,,,,,,,,,,,,,,,,,,,,5382,817
14,43.31721169,-1.970887407,,,,,,,,,,,,,,,,,,,,,1607,560
15,43.3241857,-1.983990251,,,,,,,,,,,,,,,,,,,,,553,84
16,43.31041757,-1.965462113,,,,,,,,,,,,,,,,,,,,,5215,404
17,43.3228522,-1.978347989,,,,,,,,,,,,,,,,,,,,,3508,589
18,43.32237758,-1.985309868,,,,,,,,,,,,,,,,,,,,,2917,59
19,43.32313397,-1.973215935,,,,,,,,,,,,,,,,,,,,,4829,632
20,43.32373423,-1.987558917,,,,,,,,,,,,,,,,,,,,,1594,52
21,43.32403958,-1.986307016,,,,,,,,,,,,,,,,,,,,,3381,80
22,43.31496115,-1.97775385,,,,,,,,,,,,,,,,,,,,,3659,431
23,43.3153669,-1.980261876,,,,,,,,,,,,,,,,,,,,,5683,6164
24,43.30335697,-1.962488731,,,,,,,,,,,,,,,,,,,,,446,5064
25,43.31960513,-1.969031286,,,,,,,,,,,,,,,,,,,,,881,2777
26,43.30345928,-2.003130979,,,,,,,,,,,,,,,,,,,,,1919,1747
27,43.30243193,-2.003512045,,,,,,,,,,,,,,,,,,,,,890,3021
28,43.3135882,-1.97171785,,,,,,,,,,,,,,,,,,,,,1857,5483
29,43.31598832,-1.972955221,,,,,,,,,,,,,,,,,,,,,65,554
30,43.31113074,-1.987719673,,,,,,,,,,,,,,,,,,,,,3592,3691
31,43.30245954,-1.975582713,,,,,,,,,,,,,,,,,,,,,3024,6062
32,43.3125693,-1.972433116,,,,,,,,,,,,,,,,,,,,,5183,1614
33,43.303238,-2.0075247,,,,,,,,,,,,,,,,,,,,,6157,4868
34,43.32196857,-1.971583446,,,,,,,,,,,,,,,,,,,,,299,1892
35,43.30317317,-1.977942752,,,,,,,,,,,,,,,,,,,,,1030,6058
36,43.3091406,-1.972853771,,,,,,,,,,,,,,,,,,,,,1645,1618
