,center_x,center_y,density
158,-1.9843675292444611,43.31247653963775,445.0
162,-1.9843675292444611,43.32356299071666,360.0
147,-1.9880546238644448,43.32356299071666,336.0
527,-1.986211076554453,43.32217718433179,328.0
205,-1.9733062453845103,43.318019765177205,322.0
582,-1.9714626980745185,43.319405571562065,280.0
538,-1.9825239819344693,43.31386234602261,279.0
569,-1.975149792694502,43.32217718433179,277.0
84,-2.0028030023443795,43.31524815240748,272.0
192,-1.976993340004494,43.32356299071666,270.0
