,center_x,center_y,density
217,-1.9835068446541957,43.312613639068914,222.0
192,-1.9874199645205752,43.32315892206041,209.0
579,-1.9844851246207906,43.313668167368064,196.0
569,-1.9864416845539803,43.32210439376126,175.0
282,-1.9756806049214366,43.32315892206041,156.0
207,-1.9854634045873853,43.32315892206041,153.0
584,-1.9844851246207906,43.32421345035956,152.0
630,-1.9766588848880315,43.30312288437657,152.0
667,-1.972745765021652,43.32210439376126,149.0
202,-1.9854634045873853,43.312613639068914,145.0
