ID,ESTACIÓN,NumPlazas,Descuento,NomCalle,Portal,X_etrs89,Y_etrs89,X,Y,Latitude,Longitude
2,Bretxa,15,NO,"BOULEVARD,AL DEL",2,582504.71,4797172.37,-220683.6626579596,5361245.376104751,43.32286728369536,-1.982435071211216
3,Santa Katalina Plazatxoa,15,NO,SANTA CATALINA,1,582700.51,4796998.85,-220417.79369310156,5361003.0487279575,43.32128359680712,-1.980046729664166
4,Andia,23,NO,ANDIA,1,582497.36,4796912.09,-220698.1130234958,5360886.94007256,43.320524774991235,-1.9825648810534389
5,San Marcial,15,NO,SAN MARCIAL,11,582651.45,4796772.21,-220488.93991364512,5360691.655268005,43.319248480374604,-1.980685847037382
6,Arrasate,16,NO,ARRASATE,18,582584.8,4796670.95,-220582.11288950444,5360553.2863890575,43.318344146702714,-1.9815228341201951
7,Marques de Miraflores,19,NO,MARQUES MIRAFLORES, ,582223.39,4796522.29,-221080.68246538992,5360354.563540397,43.31704533570667,-1.9860015608223442
8,Urdaneta,18,NO,URDANETA,13,582493.0,4796383.05,-220712.9362867801,5360158.242755717,43.31576219683798,-1.982698040693127
9,Easo plaza,23,NO,EASO, ,582572.0,4796109.31,-220609.0791939656,5359779.848485788,43.31328896200965,-1.9817650765547319
10,Peña y Goñi,15,NO,"COLON,PS DE",9,582921.34,4797161.58,-220111.92192272167,5361223.50227332,43.32272433290811,-1.9772990368010364
11,San Francisco-Iparragirre,15,NO,SAN FRANCISCO,1,583073.31,4797166.84,-219903.21815667977,5361228.18054218,43.322754906556675,-1.9754242189721487
12,San Francisco-Gran Vía,20,NO,SAN FRANCISCO,24,583238.58,4797325.28,-219673.67079421965,5361443.654601007,43.32416306635694,-1.9733621599308762
13,San Francisco-Navarra,15,NO,SAN FRANCISCO,52,583423.45,4797505.68,-219416.83397851916,5361689.056753308,43.32576677160772,-1.9710549555601933
14,Bermingham,15,NO,BERMINGHAM,27,583392.23,4797284.15,-219463.4485944252,5361384.384497079,43.323775729352455,-1.9714737017795105
15,Segundo Ispizua,15,NO,SEGUNDO ISPIZUA,31,583516.46,4797304.46,-219292.56493521293,5361410.26288375,43.32394484791497,-1.9699386277507438
